11187940.55680000,1535398.22130000,1
11184072.20450000,1537026.17640000,1
11146441.76380000,1552067.36570000,4
11189296.42820000,1539892.80750000,2
11211627.11810000,1531154.08480000,1
11186778.38130000,1540613.52340000,2
11190637.82810000,1543173.42380000,3
11205317.52930000,1547084.79010000,1
11184919.34580000,1540841.54400000,1
11185817.69410000,1548282.49510000,3
11202045.84950000,1548314.58740000,1
11199200.52330000,1535842.72010000,2
11190559.90440000,1540566.54450000,2
11187311.60170000,1539573.13210000,3
11192122.83010000,1530538.99800000,4
11196841.66330000,1543748.69010000,3
11192843.06720000,1544861.44130000,2
11171101.25740000,1544398.45790000,1
11171960.64390000,1530076.26030000,4
11188136.47910000,1542284.19170000,3
11190239.30430000,1542995.80420000,2
11188258.93060000,1538536.21820000,4
11191113.16230000,1543212.38560000,3
11197367.09130000,1556106.14560000,4
11186476.70550000,1559796.95380000,4
11195996.74840000,1558681.28740000,1
11195756.29830000,1549545.58740000,3
11217296.49760000,1545258.41260000,4
11204139.77410000,1543989.43860000,1
11198289.95280000,1544608.69790000,3
11194570.81370000,1544596.75450000,2
11192633.61280000,1543932.70790000,2
11187978.12000000,1540457.21170000,3
